2020-05-25 16:00:35,628 [AUDIT] Token created by 'jffe@000': tokenId='06e0f27f-8d19-4d0c-8c6d-4417187d8cb4', issuer='jffe@000', subject='jffe@000', expiry=1590423035618, refreshable=false
2020-05-25 16:00:35,628 [AUDIT] Token created by 'jffe@000': tokenId='dfa0d3fd-8718-4395-89d8-dd1201e32fcb', issuer='jffe@000', subject='jffe@000', expiry=1590423035618, refreshable=false
2020-05-25 16:00:35,628 [AUDIT] Token created by 'jffe@000': tokenId='b2e0fe81-7841-45cd-b687-097e234b6a92', issuer='jffe@000', subject='jffe@000', expiry=1590423035619, refreshable=false
2020-05-25 16:10:18,866 [AUDIT] Token created by 'jffe@000': tokenId='1dc95f46-ec41-46dd-ad83-f8eefb753da3', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590423618856, refreshable=false
2020-05-25 16:10:35,657 [AUDIT] Token created by 'jffe@000': tokenId='6ed8edfd-6325-4c19-b14f-5c80e190c052', issuer='jffe@000', subject='jffe@000', expiry=1590423635647, refreshable=false
2020-05-25 16:10:35,659 [AUDIT] Token created by 'jffe@000': tokenId='4a7c06f7-2036-4216-9ab3-9e61240c65d4', issuer='jffe@000', subject='jffe@000', expiry=1590423635650, refreshable=false
2020-05-25 16:10:35,659 [AUDIT] Token created by 'jffe@000': tokenId='71781ae0-5830-419b-9587-d623290c5325', issuer='jffe@000', subject='jffe@000', expiry=1590423635651, refreshable=false
2020-05-25 16:10:35,659 [AUDIT] Token created by 'jffe@000': tokenId='9d78b976-73b1-498f-be8d-58be6661cf9e', issuer='jffe@000', subject='jffe@000', expiry=1590423635650, refreshable=false
2020-05-25 16:20:18,954 [AUDIT] Token created by 'jffe@000': tokenId='ba84edbc-f022-4d1f-95f2-db23a870af47', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590424218952, refreshable=false
2020-05-25 16:20:35,689 [AUDIT] Token created by 'jffe@000': tokenId='865e7e74-bd3d-4547-8180-ac3d9ff196f7', issuer='jffe@000', subject='jffe@000', expiry=1590424235678, refreshable=false
2020-05-25 16:20:35,689 [AUDIT] Token created by 'jffe@000': tokenId='31d51aa4-43f9-4acf-ac27-016779e1c5ef', issuer='jffe@000', subject='jffe@000', expiry=1590424235678, refreshable=false
2020-05-25 16:20:35,690 [AUDIT] Token created by 'jffe@000': tokenId='dee0a805-2b35-4524-a071-4528a6579ee4', issuer='jffe@000', subject='jffe@000', expiry=1590424235679, refreshable=false
2020-05-25 16:20:35,704 [AUDIT] Token created by 'jffe@000': tokenId='1e483e35-240a-475d-a796-687a25595199', issuer='jffe@000', subject='jffe@000', expiry=1590424235680, refreshable=false
2020-05-25 16:30:18,996 [AUDIT] Token created by 'jffe@000': tokenId='8add703a-4021-4779-92e8-e7898caae840', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590424818994, refreshable=false
2020-05-25 16:30:35,736 [AUDIT] Token created by 'jffe@000': tokenId='74acdfe9-b6f0-43d2-b662-773ea6027e39', issuer='jffe@000', subject='jffe@000', expiry=1590424835725, refreshable=false
2020-05-25 16:30:35,737 [AUDIT] Token created by 'jffe@000': tokenId='4f3b960e-8924-4da8-b2f4-8eb2b4109e54', issuer='jffe@000', subject='jffe@000', expiry=1590424835727, refreshable=false
2020-05-25 16:30:35,737 [AUDIT] Token created by 'jffe@000': tokenId='9a9a8dad-db83-4927-aa99-7d55a96acf99', issuer='jffe@000', subject='jffe@000', expiry=1590424835731, refreshable=false
2020-05-25 16:30:35,737 [AUDIT] Token created by 'jffe@000': tokenId='41ab8496-c971-4cdb-825d-0405b9a749c5', issuer='jffe@000', subject='jffe@000', expiry=1590424835728, refreshable=false
