2020-05-22T18:49:44.834Z|4dc531309209bcb9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|49.265|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:47.126Z|3a88dd2765090b5c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/proxies?jfLoader=true|200|2|-|29.046|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:48.910Z|4596bc7755a0511e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|23.468|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:49.684Z|2ece6044a7351c04|::ffff:127.0.0.1|admin|GET|/api/v1/ui/proxies?jfLoader=true|200|2|-|20.660|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:51.257Z|e11ac985fd6b51c |::ffff:127.0.0.1|admin|GET|/api/v1/ui/onboarding/reposStates|200|585|-|53.590|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:56.119Z|642ace765364a1c3|::ffff:127.0.0.1|admin|POST|/api/v1/ui/onboarding/createDefaultRepos|201|221|48|619.081|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:56.482Z|3e5184ddf854ff6e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|13.722|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.120Z|7f28eba4518b0230|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|777|-|21.145|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.148Z|6a55ed437db10cab|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|39.573|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.150Z|7f15d0109afb62a0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|43.994|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.246Z|7e21e1d5a7c8b593|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|15.226|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.279Z|66cc675b0377729e|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|56.464|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.320Z|3b948ebd80d1a95f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|32.219|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.365Z|60613be92211273d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|34.449|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:07.686Z|656e78c86124a451|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|35.084|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:21.510Z|77b52a0124e6383a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|36.127|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:32.704Z|2ce183a16120e580|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|53.063|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:46.490Z|1897b2ff549b6b42|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.988|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:57.683Z|2a2acc31796d2d8c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|30.037|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:51:11.486Z|7de29ea6378309c7|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.263|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:51:22.698Z|2140d33e66bcb2cf|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|42.654|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:51:36.502Z|146abe12296bfe3e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|12.372|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:51:47.687Z|4bbca50bd6f7a440|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|33.491|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:52:01.486Z|3e8906d52bdb99c0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|14.293|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:52:12.683Z|4d5e56076cfff2ed|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|25.597|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:52:26.500Z|5965b24115785cc4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|19.106|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:52:37.699Z|22b51efcb66ac521|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|37.792|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:52:51.488Z|100325410e277f95|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|13.961|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:53:02.688Z|2ded478cd54552d0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|26.145|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:53:16.481Z|c4023c77a8034fa |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|9.386|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:53:27.735Z|149a594bc6316e78|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|67.145|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:53:41.485Z|6cef74f750a6f152|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|11.826|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:53:52.698Z|14541b6d52cb2bb7|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|27.772|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:54:06.495Z|4560338e790789ba|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.649|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:54:17.724Z|7a48991bfe098423|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|46.325|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:54:31.494Z|5c053b68f383c677|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|21.297|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:54:42.700Z|2fd1a0918ec0ec40|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|23.851|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:54:56.485Z|9d0560d69d00ece |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|10.676|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:55:07.710Z|13ab1c3bc765709b|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|28.896|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:55:21.485Z|2c8829e25c2d16f8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|8.653|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:55:32.726Z|318fd33f49925d62|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|44.082|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:55:46.487Z|5a34ed51e1fe2b98|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|8.479|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:55:57.738Z|65019d01cccf3f4e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|36.793|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:56:11.497Z|20a4af65e621bfed|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|18.249|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:56:22.714Z|35ad3bb80a39bcef|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|21.368|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
